T_K,D_cm2s,sigma_S_cm
400,0.0001096436887869451,4.950433510659007
500,0.00021629811633276438,7.812721043829966
600,0.0002864373184426521,8.621799792946803
700,0.0004537298530839666,11.706279778194707
800,0.0003161032300507218,7.136060635060317
