epoch,train_loss,val_loss,yield,logP,log_solubility
1,9.998537540435791,5.682137489318848,0.4246088033542037,1.323019377887249,1.1791599690914154
10,1.7189991474151611,3.3452682495117188,0.2362056002020836,0.9781455360352993,0.6802806258201599
20,0.9858865141868591,3.492353677749634,0.21108228713274002,1.0739326402544975,0.645927757024765
30,0.6675698757171631,3.608757257461548,0.1639680564403534,1.0272515192627907,0.6632218956947327
40,0.42290206253528595,3.761107921600342,0.19978609681129456,0.9720878936350346,0.6297610402107239
50,0.33969835937023163,4.105479717254639,0.14144578576087952,1.052083671092987,0.5992185473442078
60,0.33831892907619476,4.134150505065918,0.154109925031662,0.9761414541862905,0.5558446943759918
70,0.25941018015146255,4.293173789978027,0.09220543503761292,1.006382692605257,0.5934326946735382
80,0.22430072724819183,4.231697082519531,0.18292973935604095,0.9770895359106362,0.5636052489280701
90,0.22944039851427078,4.561304092407227,0.1528112292289734,0.9653950892388821,0.6013037860393524
100,0.19676953554153442,4.686777591705322,0.13691067695617676,1.0035875937901437,0.5493180751800537
110,0.22426549345254898,4.922601222991943,0.1290999948978424,1.0602987594902515,0.5581009387969971
120,0.22348058968782425,5.081418991088867,0.13414759933948517,0.991079131141305,0.6865975558757782
130,0.1339726373553276,5.023426532745361,0.13402028381824493,1.0187906436622143,0.5929437577724457
140,0.24629858136177063,4.971188068389893,0.11919057369232178,0.9887482346966863,0.5884491503238678
150,0.16118334978818893,5.00791072845459,0.13694427907466888,0.9804633278399706,0.5661776661872864
