epoch,train_loss,val_loss
1,178.46685028076172,177.742919921875
10,64.55645561218262,89.96951293945312
20,54.92515182495117,112.37738037109375
30,52.323530197143555,104.7739028930664
40,59.0402889251709,96.59532928466797
50,51.92355728149414,96.07510375976562
60,54.31412887573242,90.77605438232422
70,50.17327308654785,82.19524383544922
80,49.22835922241211,78.33988952636719
90,49.764217376708984,74.93889617919922
100,43.14772415161133,71.863525390625
110,42.924062728881836,68.10869598388672
120,38.68330192565918,66.85504150390625
130,38.64891242980957,66.82686614990234
140,33.901750564575195,67.79505920410156
150,35.75654411315918,67.77022552490234
