epoch,train_loss,val_loss
1,0.922717293103536,0.7141612470149994
10,0.09567324235929665,0.0872143330052495
20,0.038391356059211366,0.03666495613288134
30,0.03527107012477961,0.035472581861540675
40,0.028203128731367013,0.037765429238788784
50,0.02880891685948727,0.02812045783502981
60,0.02774247147988343,0.030717571615241468
70,0.026344706594996842,0.02425348904216662
80,0.02528084061564283,0.02398327674018219
90,0.02367003402732154,0.026588124106638134
100,0.02403870756004719,0.025882154644932598
