epoch,train_loss,val_MAE,Ef_MAE,EAH_MAE,Eg_MAE,density_MAE
1,5.2320154442716005,0.4740702924874204,0.2770332999229431,0.032078497042995875,1.147347262330819,0.4398221106529236
10,1.0878060904901419,0.27846090954261793,0.14453666166464488,0.03306542065316656,0.7467583889990734,0.18948316685358682
20,0.730214599353164,0.26264508903087697,0.10310190733273825,0.026690360371760712,0.740727736411461,0.18006035200754802
30,0.6052972830053586,0.24037115718128432,0.0730693146387736,0.027312972821411676,0.6795027816399621,0.18159955962498983
40,0.5430175466323967,0.2060525861402566,0.058008504668871565,0.025665738093472706,0.5592840620482651,0.18125203975041707
50,0.44556568518503387,0.2064595903129569,0.0501621348063151,0.024376132602997435,0.5597199097007203,0.19158018414179484
60,0.42664221596361984,0.21457299795994186,0.0519060173034668,0.026493657531333155,0.5710280418673841,0.2088642751375834
70,0.3554525646700788,0.1834810718863834,0.05252252876758576,0.023682028313361417,0.5070834906180389,0.15063623984654745
80,0.35253512837103945,0.19378485311970386,0.0646658681333065,0.023294811351341194,0.5128951986262885,0.17428353436787924
90,0.3043611981530688,0.17869677041827042,0.053497079809506735,0.024502902476854313,0.5014980108196226,0.13528908856709798
100,0.27332185175436646,0.1744099817634463,0.04236037449042002,0.02203036950416087,0.5020227540736086,0.1312264289855957
110,0.23070624226064823,0.17201854721455795,0.040614855229854585,0.0212435308615289,0.49388176276084655,0.1323340400060018
120,0.21533452541525686,0.16705840222874152,0.037741094946861266,0.021067294292734004,0.47907533786740775,0.13034988180796306
130,0.20539428260344178,0.17024170037994432,0.04823069608211517,0.020841629934924034,0.48756997017360604,0.12432450532913208
140,0.17747966022188985,0.1602120010283058,0.0372141265074412,0.0203700541681222,0.46121346196330465,0.12205036147435507
150,0.16152666798278467,0.16291598893685538,0.03600889374812444,0.02087223039951641,0.4758088657959985,0.11897396580378214
160,0.1523835823607089,0.15951706341730704,0.035434796969095864,0.020282135086871374,0.4667953196321614,0.11555600198109944
170,0.14481257469351613,0.15765259910890017,0.03578683547178904,0.020154468459659257,0.460883830555249,0.1137852619489034
180,0.13811620791901402,0.15647041485331525,0.03470023481051127,0.020144202018195452,0.4572255360687462,0.1138116865158081
190,0.13476060898001516,0.15634262273050265,0.03467692224184672,0.020029796250668974,0.4580964105978298,0.11256736183166503
200,0.13539568134653035,0.15610030561771904,0.03472749571005503,0.02002265479466102,0.457200811009078,0.11245026095708212
